"","x"
"37","7 Bulan Dibuka, Peminat Kartu Prakerja Capai 43 Juta Orang https://t.co/34Niyht5ww"
"38","Btw, banyak orang yang masih ada kerjaan, ga dipecat, gaji ga dikurangi, baik2 saja hidupnya tapi dengan santai menikmati duit dari prakerja untuk beli kemeja, celana, sepatu dll. Ga salah sasaran kah prakerja ini? https://t.co/PUe9fV8PF8"
"39","Program Kartu Prakerja Berlanjut ke Tahun 2021 https://t.co/yR2s4AzfIq"
"40","@bucintaehyung17 Kaga dapat blt bpjs ketenagakerjaan kalau emang sudah mendaftar kartu prakerja"
"41","Hala hala protes pajak dibuat beliin masker sama swab kerumunan hrs. kemana kalian pas pajak mu dibikin prakerja yg video nya ada di youtube"
"42","Tmn gw ngeshare link prakerja di gc kelas, gw ikutan nyoba dan disuruh share linknya ke gc sama pribadi, dan ternyata linknya penipuan<U+0001F62D> katanya data gw diambil, mana udh masukin no sama data diri lagi<U+0001F62D><U+0001F62D>. Goblop bgt yg share link nya pertama kali<U+0001F62D>"
"43","@worksfess lsp, terus prakerja,,,"
"44","@txtdrpemerintah bikin CS Prakerja aja pak, kalau ada komplain jadi ga ke medsos..
saya siap jadi CSnya, tp ga siap jadi buzzer ya pak.."
"45","@SmgMenfess Kyk gwe fb ,gari ketik prakerja ng gugel pilih dashboard prakerja,buat akun"
"46","@sirakyatjelita pernah terakhir minggu lalu, uang tinggal 2 ribu didompet rekening kosong, berharap dari insentif prakerja , engga cair juga, diserahkan ama Tuhan aja, esok harinya prakerja cair..menyambung hidup yg serba pas."
"47","@OposisiCerdas Prakerja yg dapat orang kantoran, mahasiswa, pelajar kurang tepat sasaran"
"48","@beribowo asal ga pake kartu prakerja"
"49","@worksfess Ga mungkin web pemerintah beda urlnya <U+0001F612> udah jelas kalo di google diarahin ke https://t.co/EjTtNLWUup"
"50","Apa Fungsi Logo Lonceng Di Dashboard Prakerja? https://t.co/46iYrEDqP2"
"51","Segera Cek ! Peserta Prakerja Bisa Dapat Rp 40 Juta, Asli dari Prakerja https://t.co/ORAk4IU3m9"
"52","Selalu Gagal Mengirim Survey Evaluasi Prakerja? Ini Solusinya https://t.co/OSZ021NX9D"
"53","Prakerja Gelombang 12 dibuka Tahun Ini Apa 2021? Cek Infonya https://t.co/D3HWSTJqoU"
"54","Pelatihan Prakerja Digelar Offline 2021 https://t.co/VummjCzoD7"
"55","Arti status Insentif Prakerja https://t.co/ofKhtZUMfk"
"56","Hahaha.... Peserta Prakerja Banyak Komplain di Medsos, Moeldoko : Tidak Usahlah Banyak Komplain https://t.co/1usgyRxcK7"
"57","@indah49649382 Halo Kak Indah, apakah Kakak sudah cek mutasi rekening? Jika tetap tidak ada, Kakak bis konfirmasi ke pihak Prakerja di nomor 08001503001 ya Kak. Tks -Adel-"
"58","@bedjofrommars  Hai Kak, untuk pencarian dana tersebut silakan Kakak ke Cabang BNI yang ditunjuk sesuai SMS dengan membawa e-KTP, bukti sukses pembukaan rekening dan bukti kepemilikan akun Prakerja ya Kak. Tks -Nardo-"
"59","@andinjinani_ Halo Kakak, mohon maaf atas kendalanya. Terkait hal tersebut, kami sarankan Kakak menghubungi unit  Prakerja pada nomor 02125541246. Tks -Shalimar-"
"60","Penerima Manfaat Kartu Prakerja Tembus 5,9 Juta Orang https://t.co/dE4VcbAnhv"
"61","300 Ribu Penerima Kartu Prakerja Terancam Tak Dapat Insentif https://t.co/nk4nMSd48q"
"62","Survei BPS: 88,92 Persen Penerima Kartu Prakerja akui Sangat Bermanfaat https://t.co/MTwdwrW1uw"
"63","Pemerintah Beri Sinyal Program Kartu Prakerja 2021 Bakal Digelar Offline https://t.co/jIxBKIQszN"
"64","Insentif Rp 2,4 Juta Hangus Jika Pelatihan Kartu Prakerja Tak Selesai pada 15 Desember https://t.co/NMKkAcMOoj"
"65","Diserbu 43 Juta Pendaftar, BPS Beberkan Daya Tarik Utama Kartu Prakerja https://t.co/nMQ84qKsFW"
"66","Ini Dia Manfaat Kartu Prakerja yang Wajib Diketahui https://t.co/mLYYCyMwvD"
"67","Kumpulan Informasi Hoaks Seputar Kartu Prakerja https://t.co/8tMD1EN61c"
"68","Mayoritas Penerima Kartu Prakerja Puas, Ini Kata Pemerintah https://t.co/dMdg1IWXsp"
"69","Seperempat Penduduk Usia Produktif Indonesia Daftar Kartu Prakerja https://t.co/Eo84db4dNn"
