"","text"
"73","jadwal pendaftaran prakerja gelombang   pemerintah beritahukan  publik   kabar terbaru   selengkap nya gt   jadwalpendaftaranprakerjagelombang kartuprakerja kartuprakerjagelombang pendaftarankartuprakerjagelombang "
"74","gambar lonceng  dashboard akun prakerja ramai warganet perbincangkan  media sosial     fungsi   selengkap nya gt   kartuprakerja kartuprakerjagelombang pendaftarankartuprakerja "
"75","persiapan pendaftaran prakerja gelombang  simak solusi   lolos  peserta program kartu prakerja   selengkap nya gt   kartuprakerja kartuprakerjagelombang pendaftarankartuprakerja wwwprakerjagoid "
"76"," siang min klo  ambil dana dri program prakerja yg  daftar no rek virtual gmn ya"
"77"," min sertifikat udah seminggu    masuk  situs prakerja tolong dibantu"
"78","  pandemi    menghadapi situasi sulit  pembekalannya  berkurang  logistiknya    "
"79","survei badan pusat statistik bps  mayoritas penerima kartu prakerja  berasal  pulau jawa "
"80","survei badan pusat statistik bps  mayoritas peserta program kartu prakerja merasakan manfaat  kepesertaannya  program  "
"81","program kartu prakerja    berlanjut    "
"82","peserta prakerja   diterima      mengikuti program      "
"83"," diluncurkan  april   pelatihan online program kartu prakerja kerap  kritikan   kalangan "
"84"," boong yg bener cm "
"85","sandiaga uno  ngajar kelas kewirausahaan  kartu prakerja "
"86","peserta prakerja  komplain  medsos moeldoko   usahlah  komplain "
"87","badan pusat statistik bps melaporkan   persen peserta mengikuti program kartu prakerja   meningkatkan keahlian  skill "
"88"," pendaftaran kartu prakerja gelombang   dibuka "
"89","direktur eksekutif manajemen pelaksana pmo kartu prakerja denni puspa purbasari  provinsi jabar  alokasi kuota terbesar    ribu peserta "
"90","bpk   programprogram bantuan sosial bansos pemerintah  blt subsidi gaji  kartu prakerja  tersalurkan  sasaran "
"91","  program kartu prakerja  insentif rp  ribu          diputuskan "
"92","kartu prakerja berlanjut  "
"93","kartu prakerja berlanjut  "
"94","tenang yg nganggur  dana prakerja yg  bunyi        akui  ibhrssangrevolusioner  ibhrssangrevolusioner "
"95","total pendaftar kartu prakerja  juta orang lolos verifikasi   juta peserta  "
"96","jadwal cair duit prakerja  tiputipu aja cok   minimal        kemaren    cair "
"97"," kalo prakerja   opsi via ewallet mas  so far netijen aman"
"98","   "
"99","info terbaru kartu prakerja gelombang      daftar login   via   prakerja kemenaker gelombang kartuprakerja"
"100","batas     isi survey prakerja   insentif info prakerja gelombang    kartuprakerja prakerja gelombangprakerja prakerjagelombang     via "
"101","update prakerja gelombang   fitur    isi survey kartu prakerja   insentif   kartuprakerja prakerja      via "
"102","terjawab kartu prakerja gelombang  dibuka login  tips memilih pelatihan  link  via   prakerja kartuprakerja kemenakerri"
"103","update prakerja gelombang   fitur    isi survey kartu prakerja   insentif   kartuprakerja prakerja      via "
"104","isi survei evaluasi kartu prakerja   insentif saldo pelatihan prakerja  dicairkan   kartuprakerja prakerja     via "
"105","  prakerja via wwwprakerja login daftar lengkap bansos  rencananya diperpanjang     via "
"106","login  gangguan hubungi call center prakerja terbaru jadwal gelombang  dibuka    via "
"107","insentif prakerja  diproses dijadwalkan  arti   cair cek  isi survey  kartuprakerja prakerja tribunkaltim     via "
"108","jelang pendaftaran kartu prakerja gelombang  login  batas   desember   via   prakerja bltbpjsketenagakerjaan kartuprakerja"
"109","login  muncul lonceng  dashboard kartu prakerja status pencairan insentif  via   prakerja kartuprakerja kemenakerri"
"110"," mengisi survey  prakerja  survey prakerja  muncul  dashboard  kartuprakerja prakerja tribunkaltim surveyprakerja    via "
"111","penjelasan  prakerja gelombang  dibuka via login    verifikasi email    via "
"112","saldo pelatihan prakerja  dicairkan cek pengumuman survey  dashboard gelombang    prakerja kartuprakeja tribunkaltim    via "
"113"," diabaikan  arti tanda lonceng  lonceng  login link daftar prakerja  dashboard prakerja  prakerja kartuprakerja tribunkaltim   via "
"114","klik link  cek penerima blt guru honorer  peserta prakerja      via "
"115","gelombang  kartu prakerja  dibuka  arti jadwal insentif  pengecekan dijadwalkan dll   prakerja kartuprakerja tribunkaltim   via "
"116","fitur  kartu prakerja ramai dibahas gambar lonceng  dashboard prakerja cek info gelombang   kartuprakerja prakerja gelombang     via "
"117","kartu prakerja gelombang   dibuka bocorannya login  tips  diblacklist  via   prakerja gelombang kemenaker"
"118","kepastian  kartu prakerja gelombang  dibuka  mengisi survey prakerja  pencairan insentif  prakerja kartuprakerja tribunkaltim     via "
"119","isi survei evaluasi kartu prakerja   insentif saldo pelatihan prakerja  dicairkan   kartuprakerja prakerja     via "
"120","batas     isi survey prakerja   insentif info prakerja gelombang    kartuprakerja prakerja gelombangprakerja prakerjagelombang     via "
"121","insentif prakerja diperpanjang  ditambah cek faktanya  isi survey prakerja  dashboard  kartuprakerja surveyprakerja tribunkaltim   via "
"122","fitur  kartu prakerja ramai dibahas gambar lonceng  dashboard prakerja cek info gelombang   kartuprakerja prakerja gelombang      via "
"123","bocoran  pendaftaran prakerja gelombang  dibuka  kabar gembira    prakerja kartuprakerja tribunkaltim    via "
"124","insentif prakerja diperpanjang  ditambah cek faktanya  isi survey prakerja  dashboard  "
"125","web prakerja error jadwal insentif prakerja  muncul  dashboard layar kosong peserta   cek insentif   prakerja kartuprakerja tribunkaltim prakerjaerror  via "
"126","info prakerja  daftar eform bni tabungan prakerja login   insentif    via "
"127"," prakerja gelombang  dibuka login   informasi   kck    via "
"128"," kartu prakerja dibuka  isi  survei prakerja  insentif login     via "
"129","info terbaru kartu prakerja gelombang  dibuka login  solusi  kunjung lolos  via   prakerja kemenaker jokowi"
"130","pendaftaran kartu prakerja gelombang   dibuka  jadwalnya  download aplikasi tribunnews  update berita terbaru  dapatkan  android    "
"131","bocoran pendaftaran kartu prakerja gelombang  kesempatan    lolos gelombang    download aplikasi tribunnews  update berita terbaru    dapatkan  android        "
"132","perhatikan    kepesertaan kartu prakerja gelombang   dicabut  download aplikasi tribunnews  update berita terbaru  dapatkan  android    "
"133","bocoran pembukaan pendaftaran kartu prakerja gelombang  kesempatan   gagal gelombang    download aplikasi tribunnews  update berita terbaru    dapatkan  android        "
"134","insentif kartu prakerja  ditambah syarat   daftar isi survei   rp  ribu  download aplikasi tribunnews  update berita terbaru  dapatkan  android    "
"135"," penyebab  kunjung lolos kartu prakerja simak solusinya  daftar gelombang   download aplikasi tribunnews  update berita terbaru  dapatkan  android    "
"136","bocoran informasi kartu prakerja gelombang  kesempatan     lolos  download aplikasi tribunnews  update berita terbaru  dapatkan  android    "
"137","bocoran kartu prakerja  gelombang    persiapkan    gagal daftar   download aplikasi tribunnews  update berita terbaru    dapatkan  android        "
"138","panduan peserta kartu prakerja gelombang    kena blacklist  download aplikasi tribunnews  update berita terbaru  dapatkan  android    "
"139","bocoran jadwal pendaftaran kartu prakerja gelombang  kesempatan    gagal gelombang    download aplikasi tribunnews  update berita terbaru    dapatkan  android        "
"140","bocoran pendaftaran kartu prakerja gelombang   dibuka  kesempatan    gagal   download aplikasi tribunnews  update berita terbaru    dapatkan  android        "
"141","terbaru simak jadwal dibukanya pendaftaran kartu prakerja gelombang   download aplikasi tribunnews  update berita terbaru  dapatkan  android    "
"142"," teruntuk  jokowi    yg  hormati  klau  uang sisa saldo pelatihan prakerja tolong     kpd  krn covid blum   semntar  jg ga kerja lumayan  menyambung hidup  trimakasih  jokowi sehat ya  salam"
"143","     bantuan  prakerja bpjs  blt "
"144","  eh aamiin kalo   pns hahaha  udah prakerja  ga bsu "
"145","   prakerja   mainin minjem ktp orang orang  ga ngerti   duitnya dibagi "
"146"," suami  susah banget lolos prakerja   "
"147","  masuuuk   udah prakerja "
"148","berhubung  udah  kartu prakerja  ga dapet bsu    share info aja muehehehe dicek bun info gtk nya mayan jt  "
"149","sebenernya pemerintah ngasih bantuan udah  banget ya prakerja bpjs ketenagakerjaan bsu blt    aja  belom dapet  ya  aja  ngakalin biar dapet double double"
"150","   banget yg ga lolos prakerja   "
"151","  lhaaaa udh pns kali ya gadapet bsu qu  prakerja gagal teros kzl"
"152"," ga bantuin berbenah  gue bantu bikinin emaildaftarin prakerjadan  lagijadi  berguna mantap"
"153","  prakerja cair nih"
"154"," halo tokopedia  terhormat     sertifikat  dashboard prakerja mwnurut tim skill academi    ulasan  tokopedia   kelar  gimana min  "
"155","pengumuman  hallo peserta pelatihan prakerja binus center    menginformasikan  temanteman   membeli pelatihan prakerja binus center  marketplace   daftar ulangredeem voucher  binus center "
"156","jadwal pendaftaran kartu prakerja gelombang  pendaftaran online klik    prakerja kartuprakerja pendaftarankartuprakerja prakerjagel gelombang pendaftaranonline      via "
"157","siapsiap info jadwal pendaftaran kartu prakerja gelombang   dibuka lihat    prakerja kartuprakerja infokartuprakerja prakerjagelombang gelombang    via "
"158","kartu prakerja gelombang  dibuka   update informasi     prakerja kartuprakerja prakerjagel gelombang infokartuprakeja      via "
"159","insentif kartu prakerja  ditambah rp  ribu  syarat   daftar isi surveinya   insentif insentifprakerja kartuprakerja syaratkartuprakerja surveikartuprakerja prakerjagel gelombang     via "
"160","jumhur hidayat perampokan uang negara  kartu prakerja part "
"161","jumhur hidayat perampokan uang negara  kartu prakerja  part "
"162","jumhur hidayatperampokan uang negara  kartu prakerja  part "
"163"," menuai kritik peserta mengaku puas  program kartu prakerja "
"164","program kartu prakerja   insentif dibanding pelatihan "
"165","kartu prakerja berlanjut  peserta       "
"166","program kartu prakerja berlanjut    harapan moeldoko    jabarnews beritalokal beritahiperlokal harianjabar jabartoday beritajabar beritajawabarat jabarterkini jabar programkartuprakerja berlanjut harapanksp moeldoko "
"167"," mohon info yg  prakerja   bsu  ya"
"168"," mohon info rekan   prakerja   blt  ya"
"169","   foto mah bs nyomot dmedsos aslinya sih ngarepin kartu prakerja ato dpanggil cucian mobil klo  karyawan cucinya gak kerja nyerep nyerep gtu sbln dpt    kali dah mayan  nunggu kartu prakerja"
"170","  kluar dr sopir pribadi utk nyari kartu prakerja"
"171"," komplain salurkan kepihak yg  ditentukan yg diunggah  medsos   uangkapan trm ksh  program kartu prakerja spt yg blankangan    ttg  sukur krn program jkn kis"
"172"," saldo ovo buk kosong mulu   bikin rencana  prakerja ehh ngga tembus tembus ampe "
"173","info terbaru moeldoko terkait program kartu prakerja  arahan  joko widodo "
"174","seng lulus prakerja ws  kerjo monggo absen "
"175"," kenyataannya  jokowi kemiskinan tumbuh subur kartu prakerja   redam laju pengangguran  indones "
"176","bantuan crna ra  prakerja yo ora liane  bupn  yo ora    rasah ndremis ah iseh kuat kerjo "
"177"," untung ga  yg peserta prakerja hrs jdi buzzer"
"178","     subsidi prakerja alangkah  berguna  kemnaker  diperbanyak training free  melatih skill yg   dikemudian   mendaftar pekerjaan  yg skrg   training   kehidupan seharihari uangnya"
"179"," oh  kartu prakerja   menutup mulut"
"180","  trus kartu prakerja cipta kerja"
"181","  nya butuh prakerja jga krna ga kerja "
"182","insentif prakerja diperpanjang  ditambah"
"183","moeldoko targetkan pelatihan prakerja digelar offline  "
"184","pendaftaran kartu prakerja gelombang   dibuka  "
"185","moeldoko  peserta prakerja   komplain  medsos "
"186","survei bps kartu prakerja tingkatkan keterampilan penerima "
"187","teriak hoetang hoetang kalo lu kuliah  pake bidikmisi lu dirumah  ngejilat duit blt   ngarepin duit prakerja gausah deh teriak hoetang hoetang negara kek yg  bayarin aja pajak   bolos"
"188","pagi pagi udah dapet sms banking dana  prakerja udah cair  alhamdulillah"
"189"," daftar prakerja   gel   daftar aja kudu sabar banget   bergabung  gel  nyoba trus sampe gel    lolos gel  alhamdulillah rezeki emang gak kemana"
"190","konsep digitalisasi kartu prakerja   pola  layanan birokrasi   digitalisasi kartuprakerja presidenjokowidodo ksp layananbirokrasi lensaindonesiacom"
"191"," selamat pagi  skill academy status sertifikat  dilaporkan  tokopedia tanggal  november     rating  ulasan   status   muncul didashboard prakerja "
"192"," akum prakerja "
"193","    yg kirim  tp  bgt oi daftar prakerja aja ditolak sedih"
"194","  wkwk prakerja  tuh "
"195","pemerintah memutuskan   melanjutkan program kartu prakerja     tempobisnis"
"196","sakernas  digelar bps   temuan  program kartu prakerja   temuan   tempobisnis"
"197"," subsidi gaji otoritas kebendaharaan  mencatat program kartu prakerja  tanggal  november  mencapai realisasi  rp  triliun  jangkauan  juta peserta tempobisnis "
"198","persiapan daftar kartu prakerja gelombang   dokumen  wajib   pendaftaran offline "
"199"," daftar kartu prakerja  online  offline  pendaftaran gelombang  dibuka "
"200"," daftar kartu prakerja  online  offline  pendaftaran gelombang  dibuka "
"201"," saldo kartu prakerja  dicairkan  gelombang  dibuka  jawabannya "
"202"," pendaftaran gelombang  dibuka   daftar kartu prakerja  offline "
"203","link download permenaker nomor     mengatur pendaftaran kartu prakerja  offline "
"204","pendaftaran kartu prakerja gelombang     offline   "
"205","login dashboard prakerja   cek saldo intensif  atm bni ovo link aja  gopay "
"206"," dokumen  daftar kartu prakerja  offline persiapan gelombang  dibuka "
"207"," contoh formulir pendaftaran kartu prakerja   diisi  daftar  offline "
"208","update info kartu prakerja  pendaftaran offline  pembukaan gelombang  "
"209"," contoh formulir pendaftaran kartu prakerja   diisi  daftar  offline "
"210","info terbaru pendaftaran kartu prakerja  gelombang  dibuka "
"211"," pendaftaran gelombang  dibuka   daftar kartu prakerja  offline "
"212"," daftar kartu prakerja  online   info terbaru gelombang  "
"213"," yg ga  marah bisanya email verifikasi kartu prakerja udah dikirim tgl  oktober   masuk  kontak masuk email  masuk spam   gila aja  gue daftar       masuk spam pantesan ga kebaca asu"
"214","moeldoko kartu prakerja   pola  layanan birokrasi    "
"215","moeldoko kartu prakerja   pola  layanan birokrasi   "
"216","survei bps mayoritas penerima kartu prakerja lakilaki berusia muda  tinggal  perkotaan   download aplikasi tribunnews  update berita terbaru    dapatkan  android       via "
"217","program kartu prakerja dilanjutkan   penerima     mendapatkannya   via "
"218","   nungguin progam prakerja"
"219"," sih   harapkan  kartu prakerja "
"220","  selesaikan pelatihannya  "
"221","   sisaan prakerja"
"222","kementerian koordinator bidang perekonomian mengimbau peserta program kartu prakerja menyelesaikan pelatihan    "
"223"," bahas  uu prakerja gimana "
"224","ngidam pelatihan front end gratis dicoding via prakerja eh dicodingnya ngilang  menu"
"225","lelah  ngurusin prakerja   close        belom selesai"
"226"," kartu prakerja"
"227"," lha klo yg kmaren demo prakerja  yg positif ngga ngakak gue "
"228","  lha kemaren  yg demo prakerja berkerumun bong"
"229","tips memilih pelatihan  program kartu prakerja informasi tips pelatihan kartuprakerja   "
"230"," tips  lolos  diterima  program kartu prakerja blogger informasi tips kartuprakerja   "
"231","peserta kartu prakerja     subsidi gaji blt rp  juta termin     "
"232","  bni emang suka telat dr termin  jgterlalu  ambil jatah sihudah mah prakerjabansos pkh bsudlljd bingung  transfer yg   "
"233","     bni  rakussemua program pemerintah diambilbsuprakerjapkh umkm bansos kemensosdll  bingung   "
"234","oh btw  pas tgl  jg lolos   masuk  tahap prakerja tahap prakerja    tgl   tanggal  nov  badan   gak beres drop bgt  tetep   masuk kerja haid demam sakit kepala bapil sakit tenggorokan gabisa ngerasain makanan "
"235","pendaftaran kartu prakerja gelombang  dibuka   "
"236","  e  iku mbak pas tanggal muda opomane pas habis cairan dana prakerja"
"237","    joki prakerja"
"238"," oke aja    istirahat jaga kesehatan jg  kerja  kafe yg  pengunjung  saran  coba mama  daftarin prakerja deh    syaratnya gampang  dapet k    gitu"
"239"," kalo bingung yg prakerja    nder sp tau bs membantu"
"240"," mmf salah web  "
"241"," kenyataannya  jokowi kemiskinan tumbuh subur kartu prakerja   redam laju pengangguran   "
"242"," halo min    kalo  bikin tabungan prakerja   lolos prakerja    bikin  nunggu lolos"
"243"," lu tau yg   ngarep blt  prakerja dll  kadrun  lu biar gw buktikan  "
"244","kagett sopo sg ngisi ovoku eh tibak e insentif prakerja "
"245","   kartu prakerja  omnibus law    mapah hutang    australia  jerman"
"246","   kaya tmnku bgt asli udh  usaha   story liburan  eh  kaya ngemis ngemis akunya pas   yg nunggu prakerja  nunggu bantuan umkm  pdhl storynya hedon"
"247","  sy     yg dpat bantuan  orang yg  krtu bpjs krtu prakerja  kartu keluarga sja  gimana sy cuman ad ktp sj yg  tdk ad  sy dpat ap tdk    mohon d respon"
"248","bahagia lu simpel ya sebatas dapet prakerja dapet  usaha aja slow "
"249","program kartu prakerja tingkatkan keterampilan kerja penerima ekonomi  terbukti berhasil "
"250","  bang gagal mulu   prakerja "
"251"," menolak rezim  dapet prakerja"
"252","duit prakerja  biaya sehari  duit prakerja  modal usaha duit prakerja  pendidikan duit prakerja  jalan jalan "
"253","pemerintah catat penerima kartu prakerja capai  juta orang   juta pendaftar "
"254"," penerima kartu prakerja terancam   insentif "
"255","program kartu prakerja    pemerintah siapkan anggaran rp triliun "
"256"," dihujani kritik mayoritas peserta akui manfaat kartu prakerja "
"257"," penerima kartu prakerja terancam   insentif "
"258","survei bps    daya tarik utama kartu prakerja "
"259","moeldoko digitalisasi kartu prakerja  pola  birokrasi "
"260","terjawab  prakerja gelombang  dibuka via login      link daftar   download aplikasi tribunnews  update berita terbaru    dapatkan  android       via "
"261"," lupa  orang  militan nomer   ikutan prakerja  "
"262","fitur terbaru dashboard akun kartu prakerja cek  isi survey evaluasi  insentif rp  ribu  via "
"263","program kartu prakerja  dilanjutkan    berhenti  gelombang   jawabannya   download aplikasi tribunnews  update berita terbaru    dapatkan  android       via "
"264","saldo pelatihan kartu prakerja  dicairkan   sambungkan rekening bank  akun cek   "
"265","trik  lolos pendaftaran kartu prakerja gelombang  batch i dibuka  cek detailnya     "
"266","fitur terbaru dashboard akun kartu prakerja cek  isi survey evaluasi  insentif rp  ribu   "
"267"," insentif kartu prakerja ditambah  kali cek fakta lihat  isi survey  dashboard akun   "
"268","  juta orang  terima kartu prakerja prakerja kartuprakerja  "
"269","muka ku  menonton video materi  salah  mitra prakerja "
"270"," kartu prakerja bermanfaat simak hasil survei bps "
"271","bps beberkan temuan menarik  kartu prakerja   lengkapcepatberitanya keuangan ekonomi ekonomi ekonomiindonesia  "
"272","survei membuktikan  peserta kartu prakerja mengaku puas lengkapcepatberitanya keuangan ekonomi ekonomi ekonomiindonesia  "
"273","kartu prakerja  terobosan birokrasi  transparan lengkapcepatberitanya keuangan ekonomi ekonomi ekonomiindonesia  "
"274","duh insentif kartu prakerja rp juta terancam hangus   desember lengkapcepatberitanya keuangan ekonomi ekonomi ekonomiindonesia  "
"275","kr   tau  gelombang pendaftaran prakerja dibuka "
"276","kr guyss peserta prakerja  yg ngalamin gangguan yg  gak pas  beli pelatihan  tkpd  smalam kaya gini  "
"277","kr guyss kemarin  pelatihan prakerja  skrng  ya gabisa cek insentifnya  web prakerjanya  udh dpt sertif bantuin  solusinya gmn"
"278","kr   sedih   nangis takut karna blm dapet kerjaan bbrp kali interview ga lolos  hidup  berjalan  keuangan menipis  aja bergantung  prakerja  bkn ga bersyukur tp kebutuhan ga "
"279"," diluncurkan  april   pelatihan online program kartu prakerja kerap  kritikan   kalangan   pemerintah  via  "
"280"," kenyataannya  jokowi kemiskinan tumbuh subur kartu prakerja   redam laju pengangguran     pengangguran phk indef"
"281","peserta kartu prakerja  selesaikan pelatihan    desember "
"282","kartu prakerja dinilai   redam laju pengangguran   "
"283","penerima kartu prakerja mencapai  juta orang "
"284","survei bps  persen peserta kartu prakerja    "
"285","kartu prakerja  kebutuhan inovasi digitalisasi layanan publik   "
"286","program kartu prakerja      prakerja gelombang   dibuka    "
"287","gambar lonceng    halaman dashboard kartu prakerja ramai dibicarakan keberadaannya   warganet  media sosial "
"288","program kartu prakerja      prakerja gelombang   dibuka    "
"289","simak beragam pemberitaan mewarnai laman tren  kamis   jumat  pagi "
"290","program kartu prakerja      prakerja gelombang   dibuka    "
"291","   kartu prakerja     menahan laju pengangguran   "
"292","  persen peserta kartu prakerja  berstatus    pendapatannya turun  jam kerjanya  berkurang "
"293","pemerintah  mendorong digitalisasi  sistem layanan publik digital salah satunya  kartu prakerja "
"294","     peserta kartu prakerja  menyelesaikan pelatihan   desember  "
"295","  program kartu prakerja digulirkan  april    juta peserta terdaftar  penerima "
"296"," penerima  menyelesaikan pelatihan  status kepesertaan kartu prakerja  dicabut "
"297","pemerintah lanjutkan program kartu prakerja    "
"298","penerima program kartu prakerja     mendaftar    "
"299"," selamat malam   nanya jadwal webinar  live session khusus kartu prakerja  sukses  design web    yaa   cek tiket nya udah gabisa  mohon dibantu terimakasih  "
"300"," iy min org jawa byk yg heker   tuyul tuh prakerja"
"301","dongkrak daya beli kartu prakerja    "
"302"," pembukaan prakerja gelombang   bocorannya "
"303","moeldoko bicara prakerja    pandemi covid "
"304","buruan login   daftar pelatihan kartu prakerja   rp juta    hangus prakerja kartuprakerja   "
"305","ksp pendaftar kartu prakerja membeludak  "
"306","hasil survei bps kartu prakerja tingkatkan keterampilan kerja penerima  "
"307","neo berharap program kartu prakerja  berlanjut  "
"308","kartu prakerja tingkatkan kualitas sdm  "
"309","manfaat  dirasakan peserta  meningkatkan keterampilan kerja   insentif  kartu prakerja    kebutuhan hidup  "
"310","pemerintah  peserta kartu prakerja   menyelesaikan pelatihan   uang insentif dicairkan  "
"311","kartu prakerja   insentif ketimbang pelatihan markasnews prakerja  "
"312"," kalo kaka udah  ktp coba daftar kartu prakerja kak  kaka  dapet pelatihan  modal  usaha semangat kak "
"313","        ikutan kelasnya yg lean startup  pelatihan kartu prakerja btw    dibahas  dnvb "
"314"," mohon maaf admin    menyelesaikan kelas   tanggal  oktober      status  dasbord prakerja   aktif mohon bantuannya   mohon   ditindak lanjuti terima kasih"
